rotation,method,ip_err
rht,mse-only,-232.218262
rht,mse-only,-235.009155
rht,mse-only,-318.823364
rht,mse-only,-767.644165
rht,mse-only,-226.243042
rht,mse-only,-203.421631
rht,mse-only,159.790588
rht,mse-only,-215.579712
rht,mse-only,-224.338013
rht,mse-only,-248.342529
rht,mse-only,-702.799927
rht,mse-only,-527.146362
rht,mse-only,218.144531
rht,mse-only,216.865845
rht,mse-only,196.618347
rht,mse-only,-310.274475
rht,mse-only,177.965088
rht,mse-only,-229.759399
rht,mse-only,215.182007
rht,mse-only,-480.442688
rht,mse-only,-228.030762
rht,mse-only,218.471924
rht,mse-only,-318.823364
rht,mse-only,-204.571899
rht,mse-only,-216.357178
rht,mse-only,-239.412598
rht,mse-only,-231.853271
rht,mse-only,-228.631714
rht,mse-only,-668.891663
rht,mse-only,-615.222534
rht,mse-only,-510.333618
rht,mse-only,-224.967163
rht,mse-only,207.599365
rht,mse-only,-269.675049
rht,mse-only,-210.645264
rht,mse-only,-314.550293
rht,mse-only,-234.252991
rht,mse-only,-532.829773
rht,mse-only,215.027588
rht,mse-only,-227.836548
rht,mse-only,-208.681519
rht,mse-only,-525.369202
rht,mse-only,-215.601318
rht,mse-only,-411.965332
rht,mse-only,-220.337036
rht,mse-only,-225.757324
rht,mse-only,-219.668335
rht,mse-only,-238.586792
rht,mse-only,-262.939087
rht,mse-only,-413.183289
rht,mse-only,-599.655823
rht,mse-only,-253.836487
rht,mse-only,-219.938477
rht,mse-only,-237.199646
rht,mse-only,-537.757568
rht,mse-only,-221.539307
rht,mse-only,-210.082031
rht,mse-only,184.296509
rht,mse-only,-211.885498
rht,mse-only,-227.975708
rht,mse-only,204.02771
rht,mse-only,-228.339111
rht,mse-only,-440.284302
rht,mse-only,-224.332886
rht,mse-only,-219.230835
rht,mse-only,-253.717224
rht,mse-only,-220.5271
rht,mse-only,223.09375
rht,mse-only,-547.989258
rht,mse-only,-582.757935
rht,mse-only,-213.247314
rht,mse-only,-238.104248
rht,mse-only,-582.875122
rht,mse-only,-235.654785
rht,mse-only,-266.21521
rht,mse-only,-666.562866
rht,mse-only,-426.476044
rht,mse-only,-567.914795
rht,mse-only,-227.084351
rht,mse-only,-318.049194
rht,mse-only,-696.477966
rht,mse-only,230.105103
rht,mse-only,-743.829468
rht,mse-only,-227.305664
rht,mse-only,-226.858643
rht,mse-only,-217.743286
rht,mse-only,-586.735168
rht,mse-only,-263.305725
rht,mse-only,-229.010376
rht,mse-only,-207.61792
rht,mse-only,-230.660156
rht,mse-only,-234.800842
rht,mse-only,-266.691833
rht,mse-only,-684.566467
rht,mse-only,-577.032349
rht,mse-only,-277.321381
rht,mse-only,-222.413086
rht,mse-only,-682.766724
rht,mse-only,-728.421265
rht,mse-only,-236.577271
rht,mse-only,-599.655823
rht,mse-only,-201.110474
rht,mse-only,-535.903137
rht,mse-only,212.646851
rht,mse-only,-265.950317
rht,mse-only,218.36377
rht,mse-only,195.143921
rht,mse-only,218.891113
rht,mse-only,-737.341064
rht,mse-only,-292.402557
rht,mse-only,-202.40564
rht,mse-only,-533.016724
rht,mse-only,-675.248169
rht,mse-only,-682.766724
rht,mse-only,216.543579
rht,mse-only,-558.262268
rht,mse-only,-512.526306
rht,mse-only,-236.981689
rht,mse-only,200.482788
rht,mse-only,-224.332886
rht,mse-only,-236.437195
rht,mse-only,-191.231934
rht,mse-only,-710.480774
rht,mse-only,-666.562866
rht,mse-only,235.710449
rht,mse-only,-220.608154
rht,mse-only,-579.415649
rht,mse-only,-642.434814
rht,mse-only,-299.1698
rht,mse-only,-484.548981
rht,mse-only,-610.769836
rht,mse-only,-578.950439
rht,mse-only,-727.683655
rht,mse-only,-559.619141
rht,mse-only,-689.094543
rht,mse-only,-272.342651
rht,mse-only,-256.433228
rht,mse-only,-436.546448
rht,mse-only,-227.026978
rht,mse-only,-542.589355
rht,mse-only,230.090332
rht,mse-only,-614.360229
rht,mse-only,-234.879028
rht,mse-only,-218.599609
rht,mse-only,-215.269775
rht,mse-only,-228.859985
rht,mse-only,225.041992
rht,mse-only,-229.147705
rht,mse-only,-292.600342
rht,mse-only,209.522339
rht,mse-only,-208.722778
rht,mse-only,-218.517456
rht,mse-only,-541.315552
rht,mse-only,-241.340698
rht,mse-only,-361.239502
rht,mse-only,-237.14209
rht,mse-only,-522.011169
rht,mse-only,-247.638794
rht,mse-only,204.142578
rht,mse-only,-216.906128
rht,mse-only,-217.587524
rht,mse-only,-228.575562
rht,mse-only,-207.26062
rht,mse-only,-246.470886
rht,mse-only,-507.282227
rht,mse-only,-430.66095
rht,mse-only,215.337036
rht,mse-only,-207.697632
rht,mse-only,-228.135986
rht,mse-only,-204.475342
rht,mse-only,-681.388611
rht,mse-only,-226.867554
rht,mse-only,-566.68335
rht,mse-only,-507.637939
rht,mse-only,-668.539551
rht,mse-only,-708.204773
rht,mse-only,-682.608398
