layer,rotation,bits,method,sketch_m,realized_bits,ip_bias,ip_abs_bias,ip_rmse,attn_kl
18,rht,2.5,prod-4b,256,5.835,-6.35706,6.35706,15.394233,0.872903
18,rht,3.0,mse-only,0,3.0,0.676368,0.676368,7.873955,0.245891
18,rht,3.0,prod-1b,64,3.25,-3.233203,3.233203,22.524393,2.616449
18,rht,3.0,prod-2b,128,4.25,-0.95469,0.95469,15.486275,1.159025
18,rht,3.0,prod-4b,256,6.25,-0.35543,0.35543,9.723003,0.394054
18,rht,3.5,mse-only,0,3.4594,-0.239868,0.239868,5.01378,0.107574
18,rht,3.5,prod-1b,64,3.835,0.278768,0.278768,13.669246,0.77606
18,rht,3.5,prod-2b,128,4.835,0.417368,0.417368,9.492214,0.358173
18,rht,3.5,prod-4b,256,6.835,0.329543,0.329543,6.291086,0.147974
18,rht,4.0,mse-only,0,4.0,0.160119,0.160119,3.405705,0.047705
18,rht,4.0,prod-1b,64,4.25,-0.790845,0.790845,9.685349,0.387203
18,rht,4.0,prod-2b,128,5.25,-0.163008,0.163008,6.370486,0.170111
18,rht,4.0,prod-4b,256,7.25,0.198511,0.198511,4.2136,0.072784
18,none,2.0,mse-only,0,2.0,-7.754439,7.754439,15.797869,1.879926
18,none,2.0,prod-1b,64,2.25,-60.729042,60.729042,102.429306,29.313316
18,none,2.0,prod-2b,128,3.25,-6.83604,6.83604,55.928295,15.484252
18,none,2.0,prod-4b,256,5.25,23.276663,23.276663,44.128326,8.593629
18,none,2.5,mse-only,0,2.585,-4.691136,4.691136,12.340826,0.664076
18,none,2.5,prod-1b,64,2.835,5.99785,5.99785,38.365047,6.497255
18,none,2.5,prod-2b,128,3.835,3.341292,3.341292,27.361122,3.545606
18,none,2.5,prod-4b,256,5.835,-3.509026,3.509026,19.116352,1.572399
18,none,3.0,mse-only,0,3.0,-0.718158,0.718158,9.43176,0.33769
18,none,3.0,prod-1b,64,3.25,-4.944453,4.944453,27.413891,2.982267
18,none,3.0,prod-2b,128,4.25,-3.282512,3.282512,18.942358,1.518005
18,none,3.0,prod-4b,256,6.25,-1.010961,1.010961,12.283937,0.659145
18,none,3.5,mse-only,0,3.4594,-0.375883,0.375883,6.271662,0.159908
18,none,3.5,prod-1b,64,3.835,0.220146,0.220146,16.999275,1.300706
18,none,3.5,prod-2b,128,4.835,-0.250219,0.250219,11.622125,0.546637
18,none,3.5,prod-4b,256,6.835,-0.671173,0.671173,7.981517,0.282532
18,none,4.0,mse-only,0,4.0,0.18757,0.18757,4.068105,0.060709
18,none,4.0,prod-1b,64,4.25,0.768358,0.768358,13.014222,0.784863
18,none,4.0,prod-2b,128,5.25,0.515284,0.515284,8.743382,0.314757
18,none,4.0,prod-4b,256,7.25,0.073016,0.073016,6.28508,0.150215
23,rht,2.0,mse-only,0,2.0,-2.406653,2.406653,11.288765,0.878168
23,rht,2.0,prod-1b,64,2.25,-16.123158,16.123158,46.846767,10.847582
23,rht,2.0,prod-2b,128,3.25,-26.424717,26.424717,40.216263,5.621501
23,rht,2.0,prod-4b,256,5.25,-5.358133,5.358133,24.420309,3.477298
23,rht,2.5,mse-only,0,2.585,-1.270491,1.270491,6.806439,0.293299
23,rht,2.5,prod-1b,64,2.835,2.096999,2.096999,21.108067,2.500505
23,rht,2.5,prod-2b,128,3.835,4.101578,4.101578,15.666002,1.407687
23,rht,2.5,prod-4b,256,5.835,3.514977,3.514977,11.560535,0.867266
23,rht,3.0,mse-only,0,3.0,0.541767,0.541767,4.880164,0.155334
23,rht,3.0,prod-1b,64,3.25,3.276803,3.276803,12.080611,0.950476
23,rht,3.0,prod-2b,128,4.25,0.933413,0.933413,8.742857,0.474481
23,rht,3.0,prod-4b,256,6.25,0.792492,0.792492,6.915902,0.305323
23,rht,3.5,mse-only,0,3.4594,0.070922,0.070922,3.167812,0.062171
23,rht,3.5,prod-1b,64,3.835,-0.262781,0.262781,8.31498,0.457738
23,rht,3.5,prod-2b,128,4.835,-0.715549,0.715549,5.494246,0.192521
23,rht,3.5,prod-4b,256,6.835,0.015883,0.015883,4.188883,0.107725
23,rht,4.0,mse-only,0,4.0,-0.044769,0.044769,2.369935,0.03165
23,rht,4.0,prod-1b,64,4.25,0.019628,0.019628,5.620149,0.193979
23,rht,4.0,prod-2b,128,5.25,0.26429,0.26429,3.875612,0.099609
23,rht,4.0,prod-4b,256,7.25,0.024005,0.024005,2.988086,0.060896
23,none,2.0,mse-only,0,2.0,-2.040056,2.040056,16.325354,1.589475
23,none,2.0,prod-1b,64,2.25,32.765598,32.765598,75.449074,17.105759
23,none,2.0,prod-2b,128,3.25,17.549213,17.549213,53.194569,13.569428
23,none,2.0,prod-4b,256,5.25,-12.729975,12.729975,40.140026,9.402477
23,none,2.5,mse-only,0,2.585,0.238168,0.238168,8.961741,0.591193
23,none,2.5,prod-1b,64,2.835,0.216474,0.216474,21.090816,3.235406
23,none,2.5,prod-2b,128,3.835,-2.778487,2.778487,14.372458,1.132363
23,none,2.5,prod-4b,256,5.835,4.878987,4.878987,12.243787,1.089969
23,none,3.0,mse-only,0,3.0,-1.149302,1.149302,6.939851,0.285248
23,none,3.0,prod-1b,64,3.25,5.460257,5.460257,19.851954,2.023235
23,none,3.0,prod-2b,128,4.25,3.45467,3.45467,12.882587,1.106469
23,none,3.0,prod-4b,256,6.25,-0.130992,0.130992,9.642712,0.620376
23,none,3.5,mse-only,0,3.4594,-0.068036,0.068036,4.515792,0.137404
23,none,3.5,prod-1b,64,3.835,2.61979,2.61979,12.626514,1.011549
23,none,3.5,prod-2b,128,4.835,1.635487,1.635487,7.626232,0.387059
23,none,3.5,prod-4b,256,6.835,0.851879,0.851879,5.611058,0.192773
23,none,4.0,mse-only,0,4.0,0.284677,0.284677,2.874203,0.058717
23,none,4.0,prod-1b,64,4.25,1.183682,1.183682,8.989037,0.45808
23,none,4.0,prod-2b,128,5.25,0.884701,0.884701,6.019225,0.208466
23,none,4.0,prod-4b,256,7.25,0.548582,0.548582,4.266443,0.115043
