rotation,method,ip_err
rht,direct-m512-o8,315.934204
rht,direct-m512-o8,257.669922
rht,direct-m512-o8,324.925781
rht,direct-m512-o8,330.793091
rht,direct-m512-o8,176.178833
rht,direct-m512-o8,314.175781
rht,direct-m512-o8,377.016113
rht,direct-m512-o8,254.114502
rht,direct-m512-o8,232.559692
rht,direct-m512-o8,364.497559
rht,direct-m512-o8,402.935913
rht,direct-m512-o8,374.551636
rht,direct-m512-o8,326.9375
rht,direct-m512-o8,379.284668
rht,direct-m512-o8,441.84668
rht,direct-m512-o8,184.094604
rht,direct-m512-o8,377.397583
rht,direct-m512-o8,291.524658
rht,direct-m512-o8,406.578979
rht,direct-m512-o8,371.053833
rht,direct-m512-o8,383.099243
rht,direct-m512-o8,398.24231
rht,direct-m512-o8,479.474915
rht,direct-m512-o8,477.393311
rht,direct-m512-o8,399.974243
rht,direct-m512-o8,479.474915
rht,direct-m512-o8,383.050293
rht,direct-m512-o8,294.323975
rht,direct-m512-o8,383.282471
rht,direct-m512-o8,392.447632
rht,direct-m512-o8,388.232178
rht,direct-m512-o8,254.276245
rht,direct-m512-o8,305.671021
rht,direct-m512-o8,341.602783
rht,direct-m512-o8,250.12439
rht,direct-m512-o8,356.576477
rht,direct-m512-o8,361.551636
rht,direct-m512-o8,397.315796
rht,direct-m512-o8,483.650574
rht,direct-m512-o8,405.657593
rht,direct-m512-o8,200.411621
rht,direct-m512-o8,355.911499
rht,direct-m512-o8,410.542725
rht,direct-m512-o8,379.310669
rht,direct-m512-o8,328.79248
rht,direct-m512-o8,381.558472
rht,direct-m512-o8,296.544739
rht,direct-m512-o8,410.5625
rht,direct-m512-o8,214.18103
rht,direct-m512-o8,335.257568
rht,direct-m512-o8,378.874268
rht,direct-m512-o8,367.654297
rht,direct-m512-o8,337.575317
rht,direct-m512-o8,364.509766
rht,direct-m512-o8,400.072021
rht,direct-m512-o8,316.295532
rht,direct-m512-o8,345.750977
rht,direct-m512-o8,361.73999
rht,direct-m512-o8,346.217773
rht,direct-m512-o8,374.46228
rht,direct-m512-o8,249.102661
rht,direct-m512-o8,323.828369
rht,direct-m512-o8,299.787354
rht,direct-m512-o8,383.932739
rht,direct-m512-o8,231.754395
rht,direct-m512-o8,366.049561
rht,direct-m512-o8,280.854248
rht,direct-m512-o8,399.440491
rht,direct-m512-o8,336.517029
rht,direct-m512-o8,291.001953
rht,direct-m512-o8,303.112427
rht,direct-m512-o8,400.686157
rht,direct-m512-o8,303.112427
rht,direct-m512-o8,320.870239
rht,direct-m512-o8,354.560181
rht,direct-m512-o8,434.452026
rht,direct-m512-o8,386.558594
rht,direct-m512-o8,373.74939
rht,direct-m512-o8,316.295532
rht,direct-m512-o8,330.093262
rht,direct-m512-o8,250.229614
rht,direct-m512-o8,254.114502
rht,direct-m512-o8,273.638062
rht,direct-m512-o8,363.867798
rht,direct-m512-o8,296.969238
rht,direct-m512-o8,428.12262
rht,direct-m512-o8,391.418945
rht,direct-m512-o8,381.473022
rht,direct-m512-o8,291.992554
rht,direct-m512-o8,417.161987
rht,direct-m512-o8,418.872314
rht,direct-m512-o8,411.822632
rht,direct-m512-o8,362.783203
rht,direct-m512-o8,155.767334
rht,direct-m512-o8,284.074097
rht,direct-m512-o8,343.922852
rht,direct-m512-o8,411.285522
rht,direct-m512-o8,270.612793
rht,direct-m512-o8,385.744629
rht,direct-m512-o8,264.206177
rht,direct-m512-o8,219.974792
rht,direct-m512-o8,422.097046
rht,direct-m512-o8,340.817993
rht,direct-m512-o8,402.276489
rht,direct-m512-o8,472.160461
rht,direct-m512-o8,441.850342
rht,direct-m512-o8,275.497803
rht,direct-m512-o8,383.595459
rht,direct-m512-o8,368.644287
rht,direct-m512-o8,410.485229
rht,direct-m512-o8,396.142212
rht,direct-m512-o8,256.363892
rht,direct-m512-o8,191.565674
rht,direct-m512-o8,300.449463
rht,direct-m512-o8,393.065674
rht,direct-m512-o8,382.477905
rht,direct-m512-o8,286.339844
rht,direct-m512-o8,427.017944
rht,direct-m512-o8,195.229858
rht,direct-m512-o8,388.363159
rht,direct-m512-o8,364.797241
rht,direct-m512-o8,215.061157
rht,direct-m512-o8,329.227173
rht,direct-m512-o8,360.334961
rht,direct-m512-o8,353.036255
rht,direct-m512-o8,175.403931
rht,direct-m512-o8,378.924805
rht,direct-m512-o8,412.984253
rht,direct-m512-o8,410.542725
rht,direct-m512-o8,358.318726
rht,direct-m512-o8,232.621094
rht,direct-m512-o8,314.87915
